
not attentive	2022-05-07 21:45:50.316748
not attentive	2022-05-07 21:45:50.474441
not attentive	2022-05-07 21:45:50.538346
not attentive	2022-05-07 21:45:50.618087
not attentive	2022-05-07 21:45:52.106542
not attentive	2022-05-25 23:14:57.007872
not attentive	2022-05-25 23:15:01.371373
not attentive	2022-05-25 23:15:27.323420
not attentive	2022-05-25 23:16:08.076010
not attentive	2022-05-25 23:16:08.139417
not attentive	2022-05-25 23:16:11.007550
not attentive	2022-05-25 23:16:13.850263
not attentive	2022-05-25 23:16:18.679501
not attentive	2022-05-25 23:16:47.209903
not attentive	2022-05-25 23:16:47.579655
not attentive	2022-05-25 23:16:47.805975
not attentive	2022-05-25 23:16:47.884620
not attentive	2022-05-25 23:16:47.961741
not attentive	2022-05-25 23:16:48.155990
not attentive	2022-05-25 23:16:48.236370
not attentive	2022-05-25 23:16:48.329745
not attentive	2022-05-25 23:16:49.802539
not attentive	2022-05-25 23:16:50.864720
not attentive	2022-05-25 23:16:56.029873
not attentive	2022-05-25 23:17:33.135403
attentive	2022-05-25 23:17:45.098599
not attentive	2022-05-25 23:17:48.580182
not attentive	2022-05-25 23:17:52.034638
not attentive	2022-05-25 23:18:11.803610
not attentive	2022-05-25 23:18:37.738233
not attentive	2022-05-25 23:18:37.754101
not attentive	2022-05-25 23:18:40.517646
not attentive	2022-05-25 23:18:43.329612
not attentive	2022-05-25 23:18:46.146566
not attentive	2022-05-25 23:18:49.072094
not attentive	2022-05-25 23:18:52.703375
not attentive	2022-05-25 23:18:56.299211
not attentive	2022-05-25 23:18:59.907874
not attentive	2022-05-25 23:19:03.668910
attentive	2022-05-25 23:19:05.784323
attentive	2022-05-25 23:19:09.499609
not attentive	2022-05-25 23:19:15.062969
not attentive	2022-05-25 23:19:18.615040
not attentive	2022-05-25 23:19:22.212048
not attentive	2022-05-25 23:19:25.801759
attentive	2022-05-25 23:19:30.454021
not attentive	2022-05-26 23:50:06.083980
not attentive	2022-05-26 23:50:12.182787
not attentive	2022-05-26 23:50:16.938574
not attentive	2022-05-26 23:50:19.100858
not attentive	2022-05-26 23:50:24.510147
attentive	2022-05-26 23:50:29.939289
not attentive	2022-05-26 23:50:35.410878
not attentive	2022-05-26 23:50:40.892528
attentive	2022-05-26 23:50:46.329739
not attentive	2022-05-26 23:50:52.419379
not attentive	2022-05-26 23:50:52.460803
not attentive	2022-05-26 23:50:52.523705
not attentive	2022-05-26 23:50:52.585428
not attentive	2022-05-26 23:50:52.649632
not attentive	2022-05-26 23:51:00.333434
not attentive	2022-05-26 23:51:05.651002
not attentive	2022-05-26 23:53:11.701615
not attentive	2022-05-26 23:53:19.292517
